AC,LABEL_INT_EN
T.2.GPV.Pu.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 50 to 59 years"
T.2.GPV.Pu.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Aged 60 or more years"
T.2.GPV.Pu.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Public, initial education, Age no specified"
T.2.GPV.Pr.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged less than 20 years"
T.2.GPV.Pr.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 20 to 29 years"
T.2.GPV.Pr.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 30 to 39 years"
T.2.GPV.Pr.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 40 to 49 years"
T.2.GPV.Pr.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 50 to 59 years"
T.2.GPV.Pr.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Aged 60 or more years"
T.2.GPV.Pr.Aguk,"Education staff in ISCED 2, General&Pre-Voc, Private, initial education, Age no specified"
T.2.GPV.Ag20m,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged less than 20 years"
T.2.GPV.Ag20t29,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 20 to 29 years"
T.2.GPV.Ag30t39,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 30 to 39 years"
T.2.GPV.Ag40t49,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 40 to 49 years"
T.2.GPV.Ag50t59,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 50 to 59 years"
T.2.GPV.Ag60p,"Education staff in ISCED 2, General&Pre-Voc, initial education, Aged 60 or more years"
T.2.GPV.Aguk,"Education staff in ISCED 2, General&Pre-Voc, initial education, Age no specified"
T.3.GPV.Pu.Math,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching math"
T.3.GPV.Pu.Read,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, teaching reading"
T.3.GPV.Pr.Math,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching math"
T.3.GPV.Pr.Read,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, teaching reading"
T.3.GPV.Math,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching math"
T.3.GPV.Read,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching reading"
T.3.GPV.Pu.Perm,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Permanent contract"
T.3.GPV.Pu.Fix,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, non-Permanent contract"
T.3.GPV.Pu.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, unknown contract"
T.3.GPV.Pr.Perm,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Permanent contract"
T.3.GPV.Pr.Fix,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, non-Permanent contract"
T.3.GPV.Pr.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, unknown contract"
T.3.GPV.Pu.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less"
T.3.GPV.Pu.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3"
T.3.GPV.Pu.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4"
T.3.GPV.Pu.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5"
T.3.GPV.Pu.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6"
T.3.GPV.Pu.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7"
T.3.GPV.Pu.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8"
T.3.GPV.Pu.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained not specified"
T.3.GPV.Pr.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less"
T.3.GPV.Pr.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3"
T.3.GPV.Pr.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4"
T.3.GPV.Pr.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5"
T.3.GPV.Pr.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6"
T.3.GPV.Pr.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7"
T.3.GPV.Pr.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8"
T.3.GPV.Pr.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained not specified"
T.3.GPV.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less"
T.3.GPV.EA.3,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3"
T.3.GPV.EA.4,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 4"
T.3.GPV.EA.5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 5"
T.3.GPV.EA.6,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 6"
T.3.GPV.EA.7,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 7"
T.3.GPV.EA.8,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 8"
T.3.GPV.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained not specified"
NT.3.GPV.Pu,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education"
NT.3.GPV.Pu.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education, Trained teacher"
T.3.GPV.Pu.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Pu.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years"
T.3.GPV.Pu.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years"
T.3.GPV.Pu.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years"
T.3.GPV.Pu.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years"
T.3.GPV.Pu.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience not specified"
NT.3.GPV.Pr,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education"
NT.3.GPV.Pr.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education, Trained teacher"
T.3.GPV.Pr.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Pr.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years"
T.3.GPV.Pr.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years"
T.3.GPV.Pr.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years"
T.3.GPV.Pr.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years"
T.3.GPV.Pr.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience not specified"
NT.3.GPV,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education"
NT.3.GPV.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education, Trained teacher"
T.3.GPV.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years"
T.3.GPV.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years"
T.3.GPV.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years"
T.3.GPV.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of more than 15 years"
T.3.GPV.Expuk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience not specified"
T.3.GPV.Pu.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged less than 20 years"
T.3.GPV.Pu.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 20 to 29 years"
T.3.GPV.Pu.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 30 to 39 years"
T.3.GPV.Pu.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 40 to 49 years"
T.3.GPV.Pu.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 50 to 59 years"
T.3.GPV.Pu.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 60 or more years"
T.3.GPV.Pu.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Age no specified"
T.3.GPV.Pr.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged less than 20 years"
T.3.GPV.Pr.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 20 to 29 years"
T.3.GPV.Pr.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 30 to 39 years"
T.3.GPV.Pr.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 40 to 49 years"
T.3.GPV.Pr.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 50 to 59 years"
T.3.GPV.Pr.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 60 or more years"
T.3.GPV.Pr.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Age no specified"
T.3.GPV.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged less than 20 years"
T.3.GPV.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 20 to 29 years"
T.3.GPV.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 30 to 39 years"
T.3.GPV.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 40 to 49 years"
T.3.GPV.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 50 to 59 years"
T.3.GPV.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 60 or more years"
T.3.GPV.Aguk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Age no specified"
T.23.GPV.Pu.Math,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, teaching math"
T.23.GPV.Pu.Read,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, teaching reading"
T.23.GPV.Pr.Math,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, teaching math"
T.23.GPV.Pr.Read,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, teaching reading"
T.23.GPV.Math,"Education staff 2 and 3, General&Pre-Voc, initial education, teaching math"
T.23.GPV.Read,"Education staff 2 and 3, General&Pre-Voc, initial education, teaching reading"
T.23.GPV.Pu.Perm,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Permanent contract"
T.23.GPV.Pu.Fix,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, non-Permanent contract"
T.23.GPV.Pu.uk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, unknown contract"
T.23.GPV.Pr.Perm,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Permanent contract"
T.23.GPV.Pr.Fix,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, non-Permanent contract"
T.23.GPV.Pr.uk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, unknown contract"
T.23.GPV.Pu.EA.2m,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less"
T.23.GPV.Pu.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3"
T.23.GPV.Pu.EA.4,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4"
T.23.GPV.Pu.EA.5,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5"
T.23.GPV.Pu.EA.6,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6"
T.23.GPV.Pu.EA.7,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7"
T.23.GPV.Pu.EA.8,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8"
T.23.GPV.Pu.EA.uk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained not specified"
T.23.GPV.Pr.EA.2m,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less"
T.23.GPV.Pr.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3"
T.23.GPV.Pr.EA.4,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4"
T.23.GPV.Pr.EA.5,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5"
T.23.GPV.Pr.EA.6,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6"
T.23.GPV.Pr.EA.7,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7"
T.23.GPV.Pr.EA.8,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8"
T.23.GPV.Pr.EA.uk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained not specified"
T.23.GPV.EA.2m,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less"
T.23.GPV.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, initial education, Education attained ISCED 3"
T.23.GPV.EA.4,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 4"
T.23.GPV.EA.5,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 5"
T.23.GPV.EA.6,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 6"
T.23.GPV.EA.7,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 7"
T.23.GPV.EA.8,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 8"
T.23.GPV.EA.uk,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained not specified"
NT.23.GPV.Pu,"Newly recruited teachers 2 and 3, General&Pre-Voc, Public, initial education"
NT.23.GPV.Pu.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, Public, initial education, Trained teacher"
T.23.GPV.Pu.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years"
T.23.GPV.Pu.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years"
T.23.GPV.Pu.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years"
T.23.GPV.Pu.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years"
T.23.GPV.Pu.Exp15p,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years"
T.23.GPV.Pu.Expuk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience not specified"
NT.23.GPV.Pr,"Newly recruited teachers 2 and 3, General&Pre-Voc, Private, initial education"
NT.23.GPV.Pr.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, Private, initial education, Trained teacher"
T.23.GPV.Pr.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years"
T.23.GPV.Pr.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years"
T.23.GPV.Pr.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years"
T.23.GPV.Pr.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years"
T.23.GPV.Pr.Exp15p,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years"
T.23.GPV.Pr.Expuk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience not specified"
NT.23.GPV,"Newly recruited teachers 2 and 3, General&Pre-Voc, initial education"
NT.23.GPV.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, initial education, Trained teacher"
T.23.GPV.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years"
T.23.GPV.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years"
T.23.GPV.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years"
T.23.GPV.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years"
T.23.GPV.Exp15p,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of more than 15 years"
T.23.GPV.Expuk,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience not specified"
T.23.GPV.Pu.Ag20m,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged less than 20 years"
T.23.GPV.Pu.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 20 to 29 years"
T.23.GPV.Pu.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 30 to 39 years"
T.23.GPV.Pu.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 40 to 49 years"
T.23.GPV.Pu.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 50 to 59 years"
T.23.GPV.Pu.Ag60p,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 60 or more years"
T.23.GPV.Pu.Aguk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Age no specified"
T.23.GPV.Pr.Ag20m,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged less than 20 years"
T.23.GPV.Pr.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 20 to 29 years"
T.23.GPV.Pr.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 30 to 39 years"
T.23.GPV.Pr.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 40 to 49 years"
T.23.GPV.Pr.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 50 to 59 years"
T.23.GPV.Pr.Ag60p,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 60 or more years"
T.23.GPV.Pr.Aguk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Age no specified"
T.23.GPV.Ag20m,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged less than 20 years"
T.23.GPV.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 20 to 29 years"
T.23.GPV.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 30 to 39 years"
T.23.GPV.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 40 to 49 years"
T.23.GPV.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 50 to 59 years"
T.23.GPV.Ag60p,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 60 or more years"
T.23.GPV.Aguk,"Education staff 2 and 3, General&Pre-Voc, initial education, Age no specified"
