IND_ID,LABEL ENG
Ag20mPT.1,"Percentage of teachers who are less than 20 years old, ISCED 1"
Ag20mPT.1.Pr,"Percentage of teachers who are less than 20 years old, ISCED 1, public"
Ag20mPT.1.Pu,"Percentage of teachers who are less than 20 years old, ISCED 1, private"
Ag20mPT.2.GPV,"Percentage of teachers who are less than 20 years old, ISCED 2, General and pre-vocational"
Ag20mPT.2.GPV.Pr,"Percentage of teachers who are less than 20 years old, ISCED 2, General and pre-vocational, public"
Ag20mPT.2.GPV.Pu,"Percentage of teachers who are less than 20 years old, ISCED 2, General and pre-vocational, private"
Ag20mPT.2t3.GPV,"Percentage of teachers who are less than 20 years old, ISCED 2 and 3, General and pre-vocational"
Ag20mPT.2t3.GPV.Pr,"Percentage of teachers who are less than 20 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag20mPT.2t3.GPV.Pu,"Percentage of teachers who are less than 20 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag20mPT.3.GPV,"Percentage of teachers who are less than 20 years old, ISCED 3, General and pre-vocational"
Ag20mPT.3.GPV.Pr,"Percentage of teachers who are less than 20 years old, ISCED 3, General and pre-vocational, public"
Ag20mPT.3.GPV.Pu,"Percentage of teachers who are less than 20 years old, ISCED 3, General and pre-vocational, private"
Ag20t29PT.1,"Percentage of teachers who are between 20 and 29 years old, ISCED 1"
Ag20t29PT.1.Pr,"Percentage of teachers who are between 20 and 29 years old, ISCED 1, public"
Ag20t29PT.1.Pu,"Percentage of teachers who are between 20 and 29 years old, ISCED 1, private"
Ag20t29PT.2.GPV,"Percentage of teachers who are between 20 and 29 years old, ISCED 2, General and pre-vocational"
Ag20t29PT.2.GPV.Pr,"Percentage of teachers who are between 20 and 29 years old, ISCED 2, General and pre-vocational, public"
Ag20t29PT.2.GPV.Pu,"Percentage of teachers who are between 20 and 29 years old, ISCED 2, General and pre-vocational, private"
Ag20t29PT.2t3.GPV,"Percentage of teachers who are between 20 and 29 years old, ISCED 2 and 3, General and pre-vocational"
Ag20t29PT.2t3.GPV.Pr,"Percentage of teachers who are between 20 and 29 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag20t29PT.2t3.GPV.Pu,"Percentage of teachers who are between 20 and 29 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag20t29PT.3.GPV,"Percentage of teachers who are between 20 and 29 years old, ISCED 3, General and pre-vocational"
Ag20t29PT.3.GPV.Pr,"Percentage of teachers who are between 20 and 29 years old, ISCED 3, General and pre-vocational, public"
Ag20t29PT.3.GPV.Pu,"Percentage of teachers who are between 20 and 29 years old, ISCED 3, General and pre-vocational, private"
Ag30t39PT.1,"Percentage of teachers who are between 30 and 39 years old, ISCED 1"
Ag30t39PT.1.Pr,"Percentage of teachers who are between 30 and 39 years old, ISCED 1, public"
Ag30t39PT.1.Pu,"Percentage of teachers who are between 30 and 39 years old, ISCED 1, private"
Ag30t39PT.2.GPV,"Percentage of teachers who are between 30 and 39 years old, ISCED 2, General and pre-vocational"
Ag30t39PT.2.GPV.Pr,"Percentage of teachers who are between 30 and 39 years old, ISCED 2, General and pre-vocational, public"
Ag30t39PT.2.GPV.Pu,"Percentage of teachers who are between 30 and 39 years old, ISCED 2, General and pre-vocational, private"
Ag30t39PT.2t3.GPV,"Percentage of teachers who are between 30 and 39 years old, ISCED 2 and 3, General and pre-vocational"
Ag30t39PT.2t3.GPV.Pr,"Percentage of teachers who are between 30 and 39 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag30t39PT.2t3.GPV.Pu,"Percentage of teachers who are between 30 and 39 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag30t39PT.3.GPV,"Percentage of teachers who are between 30 and 39 years old, ISCED 3, General and pre-vocational"
Ag30t39PT.3.GPV.Pr,"Percentage of teachers who are between 30 and 39 years old, ISCED 3, General and pre-vocational, public"
Ag30t39PT.3.GPV.Pu,"Percentage of teachers who are between 30 and 39 years old, ISCED 3, General and pre-vocational, private"
Ag40t49PT.1,"Percentage of teachers who are between 40 and 49 years old, ISCED 1"
Ag40t49PT.1.Pr,"Percentage of teachers who are between 40 and 49 years old, ISCED 1, public"
Ag40t49PT.1.Pu,"Percentage of teachers who are between 40 and 49 years old, ISCED 1, private"
Ag40t49PT.2.GPV,"Percentage of teachers who are between 40 and 49 years old, ISCED 2, General and pre-vocational"
Ag40t49PT.2.GPV.Pr,"Percentage of teachers who are between 40 and 49 years old, ISCED 2, General and pre-vocational, public"
Ag40t49PT.2.GPV.Pu,"Percentage of teachers who are between 40 and 49 years old, ISCED 2, General and pre-vocational, private"
Ag40t49PT.2t3.GPV,"Percentage of teachers who are between 40 and 49 years old, ISCED 2 and 3, General and pre-vocational"
Ag40t49PT.2t3.GPV.Pr,"Percentage of teachers who are between 40 and 49 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag40t49PT.2t3.GPV.Pu,"Percentage of teachers who are between 40 and 49 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag40t49PT.3.GPV,"Percentage of teachers who are between 40 and 49 years old, ISCED 3, General and pre-vocational"
Ag40t49PT.3.GPV.Pr,"Percentage of teachers who are between 40 and 49 years old, ISCED 3, General and pre-vocational, public"
Ag40t49PT.3.GPV.Pu,"Percentage of teachers who are between 40 and 49 years old, ISCED 3, General and pre-vocational, private"
Ag50t59PT.1,"Percentage of teachers who are between 50 and 59 years old, ISCED 1"
Ag50t59PT.1.Pr,"Percentage of teachers who are between 50 and 59 years old, ISCED 1, public"
Ag50t59PT.1.Pu,"Percentage of teachers who are between 50 and 59 years old, ISCED 1, private"
Ag50t59PT.2.GPV,"Percentage of teachers who are between 50 and 59 years old, ISCED 2, General and pre-vocational"
Ag50t59PT.2.GPV.Pr,"Percentage of teachers who are between 50 and 59 years old, ISCED 2, General and pre-vocational, public"
Ag50t59PT.2.GPV.Pu,"Percentage of teachers who are between 50 and 59 years old, ISCED 2, General and pre-vocational, private"
Ag50t59PT.2t3.GPV,"Percentage of teachers who are between 50 and 59 years old, ISCED 2 and 3, General and pre-vocational"
Ag50t59PT.2t3.GPV.Pr,"Percentage of teachers who are between 50 and 59 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag50t59PT.2t3.GPV.Pu,"Percentage of teachers who are between 50 and 59 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag50t59PT.3.GPV,"Percentage of teachers who are between 50 and 59 years old, ISCED 3, General and pre-vocational"
Ag50t59PT.3.GPV.Pr,"Percentage of teachers who are between 50 and 59 years old, ISCED 3, General and pre-vocational, public"
Ag50t59PT.3.GPV.Pu,"Percentage of teachers who are between 50 and 59 years old, ISCED 3, General and pre-vocational, private"
Ag60pPT.1,"Percentage of teachers who are over 60 years old, ISCED 1"
Ag60pPT.1.Pr,"Percentage of teachers who are over 60 years old, ISCED 1, public"
Ag60pPT.1.Pu,"Percentage of teachers who are over 60 years old, ISCED 1, private"
Ag60pPT.2.GPV,"Percentage of teachers who are over 60 years old, ISCED 2, General and pre-vocational"
Ag60pPT.2.GPV.Pr,"Percentage of teachers who are over 60 years old, ISCED 2, General and pre-vocational, public"
Ag60pPT.2.GPV.Pu,"Percentage of teachers who are over 60 years old, ISCED 2, General and pre-vocational, private"
Ag60pPT.2t3.GPV,"Percentage of teachers who are over 60 years old, ISCED 2 and 3, General and pre-vocational"
Ag60pPT.2t3.GPV.Pr,"Percentage of teachers who are over 60 years old, ISCED 2 and 3, General and pre-vocational, public"
Ag60pPT.2t3.GPV.Pu,"Percentage of teachers who are over 60 years old, ISCED 2 and 3, General and pre-vocational, private"
Ag60pPT.3.GPV,"Percentage of teachers who are over 60 years old, ISCED 3, General and pre-vocational"
Ag60pPT.3.GPV.Pr,"Percentage of teachers who are over 60 years old, ISCED 3, General and pre-vocational, public"
Ag60pPT.3.GPV.Pu,"Percentage of teachers who are over 60 years old, ISCED 3, General and pre-vocational, private"
AgukPT.1,"Percentage of teachers whose age are over 60 years old, ISCED 1"
AgukPT.1.Pr,"Percentage of teachers whose age are over 60 years old, ISCED 1, public"
AgukPT.1.Pu,"Percentage of teachers whose age are over 60 years old, ISCED 1, private"
AgukPT.2.GPV,"Percentage of teachers whose age are over 60 years old, ISCED 2, General and pre-vocational"
AgukPT.2.GPV.Pr,"Percentage of teachers whose age are over 60 years old, ISCED 2, General and pre-vocational, public"
AgukPT.2.GPV.Pu,"Percentage of teachers whose age are over 60 years old, ISCED 2, General and pre-vocational, private"
AgukPT.2t3.GPV,"Percentage of teachers whose age are over 60 years old, ISCED 2 and 3, General and pre-vocational"
AgukPT.2t3.GPV.Pr,"Percentage of teachers whose age are over 60 years old, ISCED 2 and 3, General and pre-vocational, public"
AgukPT.2t3.GPV.Pu,"Percentage of teachers whose age are over 60 years old, ISCED 2 and 3, General and pre-vocational, private"
AgukPT.3.GPV,"Percentage of teachers whose age are over 60 years old, ISCED 3, General and pre-vocational"
AgukPT.3.GPV.Pr,"Percentage of teachers whose age are over 60 years old, ISCED 3, General and pre-vocational, public"
AgukPT.3.GPV.Pu,"Percentage of teachers whose age are over 60 years old, ISCED 3, General and pre-vocational, private"
DIndNT.1,"Dissimilarity index for newly recruited teachers, ISCED 1"
DIndNT.1.trained,"Dissimilarity index for newly recruited teachers, ISCED 1, trained teachers"
DIndNT.2.GPV,"Dissimilarity index for newly recruited teachers, ISCED 2, general and pre-vocational"
DIndNT.2.GPV.trained,"Dissimilarity index for newly recruited teachers, ISCED 2, general and pre-vocational, trained teachers"
DIndNT.2t3.GPV,"Dissimilarity index for newly recruited teachers, ISCED 2 and 3, general and pre-vocational"
DIndNT.2t3.GPV.trained,"Dissimilarity index for newly recruited teachers, ISCED 2 and 3, general and pre-vocational, trained teachers"
DIndNT.3.GPV,"Dissimilarity index for newly recruited teachers, ISCED 3, general and pre-vocational"
DIndNT.3.GPV.trained,"Dissimilarity index for newly recruited teachers, ISCED 3, general and pre-vocational, trained teachers"
DIndT.1,"Dissimilarity index for all teachers, ISCED 1"
DIndT.1.Ag50p,"Dissimilarity index for teachers aged 50 and above, ISCED 1"
DIndT.1.EA.2m,"Dissimilarity index for teachers with ISCED level less than 2, ISCED 1"
DIndT.1.EA.3p,"Dissimilarity index for teachers with ISCED level higher than 3, ISCED 1"
DIndT.1.Exp10p,"Dissimilarity index for teachers with more than 10 years of experience, ISCED 1"
DIndT.1.Exp2m,"Dissimilarity index for teachers with less than 2 years of experience, ISCED 1"
DIndT.1.F,"Dissimilarity index for female teachers, ISCED 1"
DIndT.1.Fix,"Dissimilarity index for non-permanent teachers, ISCED 1"
DIndT.1.Pr,"Dissimilarity index for private teachers, ISCED 1"
DIndT.1.Pr.Fix,"Dissimilarity index for private teachers, ISCED 1, non-permanent"
DIndT.1.Pu.Fix,"Dissimilarity index for public teachers, ISCED 1, non-permanent"
DIndT.1.trained,"Dissimilarity index for trained teachers, ISCED 1"
DIndT.2.GPV,"Dissimilarity index for all teachers, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Ag50p,"Dissimilarity index for teachers aged 50 and above, ISCED 2, General and pre-vocational"
DIndT.2.GPV.EA.3m,"Dissimilarity index for teachers with ISCED level less than 3, ISCED 2, General and pre-vocational"
DIndT.2.GPV.EA.4p,"Dissimilarity index for teachers with ISCED level higher than 4, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Exp10p,"Dissimilarity index for teachers with more than 10 years of experience, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Exp2m,"Dissimilarity index for teachers with less than 2 years of experience, ISCED 2, General and pre-vocational"
DIndT.2.GPV.F,"Dissimilarity index for female teachers, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Fix,"Dissimilarity index for non-permanent teachers, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Pr,"Dissimilarity index for private teachers, ISCED 2, General and pre-vocational"
DIndT.2.GPV.Pr.Fix,"Dissimilarity index for private teachers, ISCED 2, General and pre-vocational, non-permanent"
DIndT.2.GPV.Pu.Fix,"Dissimilarity index for public teachers, ISCED 2, General and pre-vocational, non-permanent"
DIndT.2.GPV.trained,"Dissimilarity index for trained teachers, ISCED 2, General and pre-vocational"
DIndT.2t3.GPV,"Dissimilarity index for all teachers, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Ag50p,"Dissimilarity index for teachers aged 50 and above, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.EA.4m,"Dissimilarity index for teachers with ISCED level less than 4, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.EA.5p,"Dissimilarity index for teachers with ISCED level higher than 5, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Exp10p,"Dissimilarity index for teachers with more than 10 years of experience, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Exp2m,"Dissimilarity index for teachers with less than 2 years of experience, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.F,"Dissimilarity index for female teachers, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Fix,"Dissimilarity index for non-permanent teachers, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Math,"Dissimilarity index for all teachers, ISCED 2 and 3, General and pre-vocational, math subject"
DIndT.2t3.GPV.Pr,"Dissimilarity index for private teachers, ISCED 2 and 3, General and pre-vocational"
DIndT.2t3.GPV.Pr.Fix,"Dissimilarity index for private teachers, ISCED 2 and 3, General and pre-vocational, non-permanent"
DIndT.2t3.GPV.Pu.Fix,"Dissimilarity index for public teachers, ISCED 2 and 3, General and pre-vocational, non-permanent"
DIndT.2t3.GPV.Read,"Dissimilarity index for all teachers, ISCED 2 and 3, General and pre-vocational, reading subject"
DIndT.2t3.GPV.trained,"Dissimilarity index for trained teachers, ISCED 2 and 3, General and pre-vocational"
DIndT.3.GPV,"Dissimilarity index for all teachers, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Ag50p,"Dissimilarity index for teachers aged 50 and above, ISCED 3, General and pre-vocational"
DIndT.3.GPV.EA.4m,"Dissimilarity index for teachers with ISCED level less than 4, ISCED 3, General and pre-vocational"
DIndT.3.GPV.EA.5p,"Dissimilarity index for teachers with ISCED level higher than 5, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Exp10p,"Dissimilarity index for teachers with more than 10 years of experience, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Exp2m,"Dissimilarity index for teachers with less than 2 years of experience, ISCED 3, General and pre-vocational"
DIndT.3.GPV.F,"Dissimilarity index for female teachers, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Fix,"Dissimilarity index for non-permanent teachers, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Pr,"Dissimilarity index for private teachers, ISCED 3, General and pre-vocational"
DIndT.3.GPV.Pr.Fix,"Dissimilarity index for private teachers, ISCED 3, General and pre-vocational, non-permanent"
DIndT.3.GPV.Pu.Fix,"Dissimilarity index for public teachers, ISCED 3, General and pre-vocational, non-permanent"
DIndT.3.GPV.trained,"Dissimilarity index for trained teachers, ISCED 3, General and pre-vocational"
EA2mPT.1,"Percentage of teachers with ISCED 2 or less qualification, ISCED 1"
EA2mPT.1.Pr,"Percentage of teachers with ISCED 2 or less qualification, ISCED 1, Private"
EA2mPT.1.Pu,"Percentage of teachers with ISCED 2 or less qualification, ISCED 1, Public"
EA2mPT.2.GPV,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2, General and pre-vocational"
EA2mPT.2.GPV.Pr,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2, General and pre-vocational, Private"
EA2mPT.2.GPV.Pu,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2, General and pre-vocational, Public"
EA2mPT.2t3.GPV,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2 and 3, General and pre-vocational"
EA2mPT.2t3.GPV.Pr,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2 and 3, General and pre-vocational, Private"
EA2mPT.2t3.GPV.Pu,"Percentage of teachers with ISCED 2 or less qualification, ISCED 2 and 3, General and pre-vocational, Public"
EA2mPT.3.GPV,"Percentage of teachers with ISCED 2 or less qualification, ISCED 3, General and pre-vocational"
EA2mPT.3.GPV.Pr,"Percentage of teachers with ISCED 2 or less qualification, ISCED 3, General and pre-vocational, Private"
EA2mPT.3.GPV.Pu,"Percentage of teachers with ISCED 2 or less qualification, ISCED 3, General and pre-vocational, Public"
EA3PT.1,"Percentage of teachers with ISCED 3 qualification, ISCED 1"
EA3PT.1.Pr,"Percentage of teachers with ISCED 3 qualification, ISCED 1, Private"
EA3PT.1.Pu,"Percentage of teachers with ISCED 3 qualification, ISCED 1, Public"
EA3PT.2.GPV,"Percentage of teachers with ISCED 3 qualification, ISCED 2, General and pre-vocational"
EA3PT.2.GPV.Pr,"Percentage of teachers with ISCED 3 qualification, ISCED 2, General and pre-vocational, Private"
EA3PT.2.GPV.Pu,"Percentage of teachers with ISCED 3 qualification, ISCED 2, General and pre-vocational, Public"
EA3PT.2t3.GPV,"Percentage of teachers with ISCED 3 qualification, ISCED 2 and 3, General and pre-vocational"
EA3PT.2t3.GPV.Pr,"Percentage of teachers with ISCED 3 qualification, ISCED 2 and 3, General and pre-vocational, Private"
EA3PT.2t3.GPV.Pu,"Percentage of teachers with ISCED 3 qualification, ISCED 2 and 3, General and pre-vocational, Public"
EA3PT.3.GPV,"Percentage of teachers with ISCED 3 qualification, ISCED 3, General and pre-vocational"
EA3PT.3.GPV.Pr,"Percentage of teachers with ISCED 3 qualification, ISCED 3, General and pre-vocational, Private"
EA3PT.3.GPV.Pu,"Percentage of teachers with ISCED 3 qualification, ISCED 3, General and pre-vocational, Public"
EA4PT.1,"Percentage of teachers with ISCED 4 qualification, ISCED 1"
EA4PT.1.Pr,"Percentage of teachers with ISCED 4 qualification, ISCED 1, Private"
EA4PT.1.Pu,"Percentage of teachers with ISCED 4 qualification, ISCED 1, Public"
EA4PT.2.GPV,"Percentage of teachers with ISCED 4 qualification, ISCED 2, General and pre-vocational"
