EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
900170,T.3.GPV.Read,"Education staff in ISCED 3, General&Pre-Voc, initial education, teaching reading",,,
900171,T.3.GPV.Pu.Perm,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Permanent contract",,,
900172,T.3.GPV.Pu.Fix,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, non-Permanent contract",,,
900173,T.3.GPV.Pu.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, unknown contract",,,
900174,T.3.GPV.Pr.Perm,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Permanent contract",,,
900175,T.3.GPV.Pr.Fix,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, non-Permanent contract",,,
900176,T.3.GPV.Pr.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, unknown contract",,,
900177,T.3.GPV.Pu.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less",,,
900178,T.3.GPV.Pu.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3",,,
900179,T.3.GPV.Pu.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4",,,
900180,T.3.GPV.Pu.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5",,,
900181,T.3.GPV.Pu.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6",,,
900182,T.3.GPV.Pu.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7",,,
900183,T.3.GPV.Pu.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8",,,
900184,T.3.GPV.Pu.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Education attained not specified",,,
900185,T.3.GPV.Pr.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less",,,
900186,T.3.GPV.Pr.EA.3,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3",,,
900187,T.3.GPV.Pr.EA.4,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4",,,
900188,T.3.GPV.Pr.EA.5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5",,,
900189,T.3.GPV.Pr.EA.6,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6",,,
900190,T.3.GPV.Pr.EA.7,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7",,,
900191,T.3.GPV.Pr.EA.8,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8",,,
900192,T.3.GPV.Pr.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Education attained not specified",,,
900193,T.3.GPV.EA.2m,"Education staff in ISCED 2in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less",,,
900194,T.3.GPV.EA.3,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 3",,,
900195,T.3.GPV.EA.4,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 4",,,
900196,T.3.GPV.EA.5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 5",,,
900197,T.3.GPV.EA.6,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 6",,,
900198,T.3.GPV.EA.7,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 7",,,
900199,T.3.GPV.EA.8,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 8",,,
900200,T.3.GPV.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained not specified",,,
900201,NT.3.GPV.Pu,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education",,,
900202,NT.3.GPV.Pu.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education, Trained teacher",,,
900203,T.3.GPV.Pu.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years",,,
900204,T.3.GPV.Pu.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years",,,
900205,T.3.GPV.Pu.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years",,,
900206,T.3.GPV.Pu.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years",,,
900207,T.3.GPV.Pu.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years",,,
900208,T.3.GPV.Pu.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience not specified",,,
900209,NT.3.GPV.Pr,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education",,,
900210,NT.3.GPV.Pr.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education, Trained teacher",,,
900211,T.3.GPV.Pr.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years",,,
900212,T.3.GPV.Pr.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years",,,
900213,T.3.GPV.Pr.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years",,,
900214,T.3.GPV.Pr.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years",,,
900215,T.3.GPV.Pr.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years",,,
900216,T.3.GPV.Pr.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience not specified",,,
900217,NT.3.GPV,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education",,,
900218,NT.3.GPV.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education, Trained teacher",,,
900219,T.3.GPV.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years",,,
900220,T.3.GPV.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years",,,
900221,T.3.GPV.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years",,,
900222,T.3.GPV.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years",,,
900223,T.3.GPV.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of more than 15 years",,,
900224,T.3.GPV.Expuk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience not specified",,,
900225,T.3.GPV.Pu.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged less than 20 years",,,
900226,T.3.GPV.Pu.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 20 to 29 years",,,
900227,T.3.GPV.Pu.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 30 to 39 years",,,
900228,T.3.GPV.Pu.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 40 to 49 years",,,
900229,T.3.GPV.Pu.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 50 to 59 years",,,
900230,T.3.GPV.Pu.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 60 or more years",,,
900231,T.3.GPV.Pu.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Age no specified",,,
900232,T.3.GPV.Pr.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged less than 20 years",,,
900233,T.3.GPV.Pr.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 20 to 29 years",,,
900234,T.3.GPV.Pr.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 30 to 39 years",,,
900235,T.3.GPV.Pr.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 40 to 49 years",,,
900236,T.3.GPV.Pr.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 50 to 59 years",,,
900237,T.3.GPV.Pr.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 60 or more years",,,
900238,T.3.GPV.Pr.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Age no specified",,,
900239,T.3.GPV.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged less than 20 years",,,
900240,T.3.GPV.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 20 to 29 years",,,
900241,T.3.GPV.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 30 to 39 years",,,
900242,T.3.GPV.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 40 to 49 years",,,
900243,T.3.GPV.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 50 to 59 years",,,
900244,T.3.GPV.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, initial education, Aged 60 or more years",,,
900245,T.3.GPV.Aguk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Age no specified",,,
900246,T.23.GPV.Pu.Math,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, teaching math",,,
900247,T.23.GPV.Pu.Read,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, teaching reading",,,
900248,T.23.GPV.Pr.Math,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, teaching math",,,
900249,T.23.GPV.Pr.Read,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, teaching reading",,,
900250,T.23.GPV.Math,"Education staff 2 and 3, General&Pre-Voc, initial education, teaching math",,,
900251,T.23.GPV.Read,"Education staff 2 and 3, General&Pre-Voc, initial education, teaching reading",,,
900252,T.23.GPV.Pu.Perm,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Permanent contract",,,
900253,T.23.GPV.Pu.Fix,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, non-Permanent contract",,,
900254,T.23.GPV.Pu.uk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, unknown contract",,,
900255,T.23.GPV.Pr.Perm,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Permanent contract",,,
900256,T.23.GPV.Pr.Fix,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, non-Permanent contract",,,
900257,T.23.GPV.Pr.uk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, unknown contract",,,
900258,T.23.GPV.Pu.EA.2m,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 2 or less",,,
900259,T.23.GPV.Pu.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 3",,,
900260,T.23.GPV.Pu.EA.4,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 4",,,
900261,T.23.GPV.Pu.EA.5,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 5",,,
900262,T.23.GPV.Pu.EA.6,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 6",,,
900263,T.23.GPV.Pu.EA.7,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 7",,,
900264,T.23.GPV.Pu.EA.8,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained ISCED 8",,,
900265,T.23.GPV.Pu.EA.uk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Education attained not specified",,,
900266,T.23.GPV.Pr.EA.2m,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 2 or less",,,
900267,T.23.GPV.Pr.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 3",,,
900268,T.23.GPV.Pr.EA.4,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 4",,,
900269,T.23.GPV.Pr.EA.5,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 5",,,
900270,T.23.GPV.Pr.EA.6,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 6",,,
900271,T.23.GPV.Pr.EA.7,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 7",,,
900272,T.23.GPV.Pr.EA.8,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained ISCED 8",,,
900273,T.23.GPV.Pr.EA.uk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Education attained not specified",,,
900274,T.23.GPV.EA.2m,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 2 or less",,,
900275,T.23.GPV.EA.3,"Education staff in ISCED 32 and 3, General&Pre-Voc, initial education, Education attained ISCED 3",,,
900276,T.23.GPV.EA.4,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 4",,,
900277,T.23.GPV.EA.5,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 5",,,
900278,T.23.GPV.EA.6,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 6",,,
900279,T.23.GPV.EA.7,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 7",,,
900280,T.23.GPV.EA.8,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained ISCED 8",,,
900281,T.23.GPV.EA.uk,"Education staff 2 and 3, General&Pre-Voc, initial education, Education attained not specified",,,
900282,NT.23.GPV.Pu,"Newly recruited teachers 2 and 3, General&Pre-Voc, Public, initial education",,,
900283,NT.23.GPV.Pu.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, Public, initial education, Trained teacher",,,
900284,T.23.GPV.Pu.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years",,,
900285,T.23.GPV.Pu.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years",,,
900286,T.23.GPV.Pu.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years",,,
900287,T.23.GPV.Pu.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years",,,
900288,T.23.GPV.Pu.Exp15p,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years",,,
900289,T.23.GPV.Pu.Expuk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Teaching experience not specified",,,
900290,NT.23.GPV.Pr,"Newly recruited teachers 2 and 3, General&Pre-Voc, Private, initial education",,,
900291,NT.23.GPV.Pr.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, Private, initial education, Trained teacher",,,
900292,T.23.GPV.Pr.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years",,,
900293,T.23.GPV.Pr.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years",,,
900294,T.23.GPV.Pr.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years",,,
900295,T.23.GPV.Pr.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years",,,
900296,T.23.GPV.Pr.Exp15p,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years",,,
900297,T.23.GPV.Pr.Expuk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Teaching experience not specified",,,
900298,NT.23.GPV,"Newly recruited teachers 2 and 3, General&Pre-Voc, initial education",,,
900299,NT.23.GPV.trained,"Newly recruited teachers 2 and 3, General&Pre-Voc, initial education, Trained teacher",,,
900300,T.23.GPV.Exp1t2,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years",,,
900301,T.23.GPV.Exp3t5,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years",,,
900302,T.23.GPV.Exp6t10,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years",,,
900303,T.23.GPV.Exp11t15,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years",,,
900304,T.23.GPV.Exp15p,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience of more than 15 years",,,
900305,T.23.GPV.Expuk,"Education staff 2 and 3, General&Pre-Voc, initial education, Teaching experience not specified",,,
900306,T.23.GPV.Pu.Ag20m,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged less than 20 years",,,
900307,T.23.GPV.Pu.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 20 to 29 years",,,
900308,T.23.GPV.Pu.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 30 to 39 years",,,
900309,T.23.GPV.Pu.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 40 to 49 years",,,
900310,T.23.GPV.Pu.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 50 to 59 years",,,
900311,T.23.GPV.Pu.Ag60p,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Aged 60 or more years",,,
900312,T.23.GPV.Pu.Aguk,"Education staff 2 and 3, General&Pre-Voc, Public, initial education, Age no specified",,,
900313,T.23.GPV.Pr.Ag20m,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged less than 20 years",,,
900314,T.23.GPV.Pr.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 20 to 29 years",,,
900315,T.23.GPV.Pr.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 30 to 39 years",,,
900316,T.23.GPV.Pr.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 40 to 49 years",,,
900317,T.23.GPV.Pr.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 50 to 59 years",,,
900318,T.23.GPV.Pr.Ag60p,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Aged 60 or more years",,,
900319,T.23.GPV.Pr.Aguk,"Education staff 2 and 3, General&Pre-Voc, Private, initial education, Age no specified",,,
900320,T.23.GPV.Ag20m,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged less than 20 years",,,
900321,T.23.GPV.Ag20t29,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 20 to 29 years",,,
900322,T.23.GPV.Ag30t39,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 30 to 39 years",,,
900323,T.23.GPV.Ag40t49,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 40 to 49 years",,,
900324,T.23.GPV.Ag50t59,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 50 to 59 years",,,
900325,T.23.GPV.Ag60p,"Education staff 2 and 3, General&Pre-Voc, initial education, Aged 60 or more years",,,
900326,T.23.GPV.Aguk,"Education staff 2 and 3, General&Pre-Voc, initial education, Age no specified",,,
